LAT,LON,FATALITIES,INJURY_COLLISIONS,TOTAL_COLLISIONS,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN,DANGER_SCORE,WARD_NUM,ROW_ID,WARD_SOURCE
43.59335757303357,-79.53353713001582,0,0,7,7,1,0,0,0,7,3,63,auto
43.5934137709677,-79.53818093266197,0,38,127,127,3,24,4,8,317,3,64,auto
43.593675083416414,-79.52666671691323,0,2,3,3,0,0,0,0,13,3,65,auto
43.59369057191396,-79.53698193001985,0,3,19,19,0,0,1,1,34,3,66,auto
43.59373307537904,-79.5319298255316,0,0,3,3,0,0,0,0,3,3,67,auto
43.59375469729692,-79.52033380299625,0,1,4,4,0,0,0,0,9,3,68,auto
43.59375588786443,-79.52410691179567,0,1,3,3,0,0,0,1,8,3,69,auto
43.59380787057797,-79.54652623058597,0,0,3,3,0,0,0,0,3,3,70,auto
43.59401217291819,-79.53557632727865,0,6,28,28,1,2,2,0,58,3,71,auto
43.5940781710548,-79.54531932822367,0,0,4,4,0,0,0,0,4,3,72,auto
43.59432727838563,-79.52987891958864,0,0,4,4,0,0,0,0,4,3,73,auto
43.59433517147984,-79.54413342613461,0,0,2,2,0,0,0,0,2,3,74,auto
43.5943794739216,-79.53400262459816,0,38,192,191,3,15,7,7,382,3,75,auto
43.59441353179052,-79.50979287903309,0,0,9,9,0,0,0,0,9,3,76,auto
43.594591681097306,-79.52855001661291,0,0,1,1,0,0,0,0,1,3,77,auto
43.59460289584293,-79.52068520213969,0,0,2,2,0,0,0,0,2,3,78,auto
43.594632687338006,-79.52417750973753,0,0,1,1,0,0,0,0,1,3,79,auto
43.59464113525335,-79.50877867672946,0,1,6,6,0,0,0,1,11,3,80,auto
43.59474627212046,-79.54232882305963,1,7,33,33,0,2,2,0,88,3,81,auto
43.59475657565068,-79.53237502113143,0,4,38,38,0,3,1,1,58,3,82,auto
43.59484929042147,-79.52286340635285,0,0,5,5,0,0,0,0,5,3,83,auto
43.59492908270899,-79.52721161360324,0,1,5,5,0,1,1,0,10,3,84,auto
43.59507236156229,-79.50290066464335,0,0,2,2,0,0,0,0,2,3,85,auto
43.5950814774937,-79.53097591776158,0,4,21,21,1,1,0,3,41,3,86,auto
43.59519778420599,-79.52585821106688,0,0,1,1,0,0,0,0,1,3,87,auto
43.59523487834608,-79.53028541623591,0,12,49,49,1,7,1,2,109,3,88,auto
43.59526007482443,-79.53420861964452,0,0,18,18,0,1,0,0,18,3,89,auto
43.59533647364349,-79.54455791663166,0,0,1,1,0,0,0,1,1,3,90,auto
43.59533656626323,-79.50179896226382,0,0,4,4,0,0,0,0,4,3,91,auto
43.59535407896638,-79.52976621511726,0,18,85,85,0,10,3,6,175,3,92,auto
43.59539974847589,-79.50558796979973,0,0,3,3,0,0,0,0,3,3,93,auto
43.595451242846025,-79.50677597214136,0,0,11,10,0,0,0,0,11,3,94,auto
43.59552028604151,-79.52457700830651,0,0,1,1,0,0,0,0,1,3,95,auto
43.5955553745287,-79.54727241295544,0,0,2,1,1,0,0,0,2,3,96,auto
43.59562735361532,-79.5044053672828,0,0,4,4,0,1,0,0,4,3,97,auto
43.59568318062228,-79.52828761218694,0,5,27,27,0,2,0,2,52,3,98,auto
43.59575573647623,-79.50803217445076,0,0,3,3,0,0,0,1,3,3,99,auto
43.59579257427421,-79.5425317136922,0,3,16,16,1,1,0,0,31,3,100,auto
43.59581807491579,-79.5460845111122,0,0,4,4,0,0,0,0,4,3,101,auto
43.59583788232762,-79.5276118109364,0,9,27,26,1,5,3,0,72,3,102,auto
43.59592636980224,-79.5008299599326,0,0,1,1,0,0,0,0,1,3,103,auto
43.59604795802901,-79.50330936481038,0,0,1,1,0,0,0,0,1,3,104,auto
43.59608837529184,-79.54488340935661,0,0,2,2,0,0,0,0,2,3,105,auto
43.59627809313707,-79.52136810014638,0,1,5,4,0,0,0,0,10,3,106,auto
